Iteration,Density,CheckPoints,CellularIterations,Height,Width,PathLength_Level1,NodesExplored_Level1,Time_Level1,PathLength_Level2,NodesExplored_Level2,Time_Level2,PathLength_Level3,NodesExplored_Level3,Time_Level3,PathLength_AStar,NodesExplored_AStar,Time_AStar
1,60,2,17,100,100,0,0,1,0,0,1,0,0,0,0,388,4
2,60,2,18,100,100,0,0,0,0,0,0,0,0,0,0,7089,44
3,60,3,18,100,100,0,0,0,0,0,0,0,0,3,0,1,0
4,60,4,17,100,100,0,0,0,0,0,0,0,0,1,0,2084,8
5,60,3,18,100,100,139,126,7,162,149,14,161,146,9,114,915,4
6,60,2,18,100,100,101,91,3,200,178,7,0,0,0,91,91,0
7,60,2,19,100,100,157,149,4,192,178,7,232,216,11,135,3010,13
8,60,4,17,100,100,0,0,1,0,0,0,0,0,0,0,7821,43
9,60,2,19,100,100,181,164,5,242,237,12,268,280,17,150,2798,11
10,60,4,17,100,100,68,59,2,89,80,4,101,92,7,59,178,0
11,60,4,17,100,100,65,64,2,84,84,3,78,73,5,53,54,0
12,60,3,17,100,100,0,0,0,0,0,0,0,0,0,0,553,1
13,60,2,17,100,100,0,0,1,0,0,0,0,0,4,0,6157,26
14,60,2,18,100,100,92,82,2,127,116,5,114,105,6,84,85,0
15,60,3,19,100,100,0,0,1,0,0,0,0,0,1,0,6965,61
16,60,4,17,100,100,0,0,1,0,0,1,0,0,0,0,6957,33
17,60,1,18,100,100,79,71,2,90,82,4,0,0,1,71,71,0
18,60,2,17,100,100,44,39,1,48,42,2,0,0,1,31,31,0
19,60,3,17,100,100,0,0,0,0,0,0,0,0,0,0,1,0
20,60,1,17,100,100,0,0,1,0,0,0,0,0,1,0,6551,54
21,60,2,18,100,100,0,0,1,0,0,0,0,0,0,0,4326,20
22,60,4,17,100,100,0,0,0,0,0,0,0,0,1,0,2382,9
23,60,4,19,100,100,0,0,0,0,0,0,0,0,0,0,474,1
24,60,4,19,100,100,0,0,1,0,0,0,0,0,0,0,6132,27
25,60,1,19,100,100,0,0,0,0,0,0,0,0,0,25,25,0
26,60,4,19,100,100,0,0,0,0,0,0,0,0,3,0,1849,7
27,60,2,19,100,100,0,0,1,0,0,1,0,0,1,0,7308,35
28,60,2,17,100,100,120,108,3,555,524,16,555,524,17,103,109,0
29,60,3,18,100,100,0,0,0,0,0,0,0,0,0,0,1390,5
30,60,3,18,100,100,0,0,0,0,0,0,0,0,0,0,25,0
31,60,4,18,100,100,0,0,0,0,0,0,0,0,0,0,2196,8
32,60,2,18,100,100,0,0,1,0,0,0,0,0,0,0,7607,34
33,60,4,17,100,100,0,0,1,0,0,1,0,0,1,0,5075,21
34,60,2,19,100,100,0,0,0,0,0,0,0,0,0,0,1,0
35,60,1,18,100,100,140,141,4,167,160,21,199,192,16,118,910,3
36,60,4,17,100,100,0,0,0,0,0,0,0,0,0,0,1,0
37,60,3,19,100,100,65,60,2,70,65,6,0,0,1,54,150,0
38,60,2,17,100,100,0,0,1,0,0,0,0,0,1,0,7329,34
39,60,1,18,100,100,108,98,3,116,109,7,120,113,7,92,980,3
40,60,2,17,100,100,178,164,5,273,259,10,293,279,16,153,2649,11
41,60,1,17,100,100,103,94,3,119,109,6,153,139,9,94,180,0
42,60,4,19,100,100,176,159,5,226,205,8,0,0,2,157,3836,17
43,60,2,18,100,100,0,0,0,0,0,0,0,0,0,0,4621,23
44,60,2,19,100,100,0,0,1,0,0,0,0,0,1,0,6390,52
45,60,1,17,100,100,0,0,0,0,0,1,0,0,3,0,984,3
46,60,3,19,100,100,0,0,1,0,0,2,0,0,4,0,5585,26
47,60,2,17,100,100,0,0,1,0,0,0,0,0,0,0,6937,31
48,60,2,17,100,100,0,0,0,0,0,1,0,0,0,0,4582,20
49,60,3,19,100,100,0,0,0,0,0,1,0,0,3,0,1,0
50,60,2,19,100,100,0,0,0,0,0,0,0,0,0,0,1,0
51,60,2,19,100,100,36,33,1,38,35,5,38,35,9,25,25,0
52,60,4,18,100,100,0,0,1,0,0,2,0,0,2,0,6831,30
53,60,2,18,100,100,37,33,1,41,37,2,83,77,5,31,52,0
54,60,3,17,100,100,0,0,1,0,0,1,0,0,0,0,7568,37
55,60,2,19,100,100,78,71,2,108,99,4,119,110,12,57,326,2
56,60,4,17,100,100,0,0,0,0,0,0,0,0,0,0,3533,13
57,60,2,17,100,100,0,0,1,0,0,0,0,0,2,0,6843,32
58,60,2,19,100,100,118,105,4,184,167,10,179,165,13,101,377,1
59,60,1,17,100,100,0,0,0,0,0,0,0,0,0,0,1,0
60,60,4,19,100,100,117,105,4,169,151,8,138,128,11,93,1685,6
61,60,2,17,100,100,0,0,0,0,0,0,0,0,0,0,389,1
62,60,4,17,100,100,132,119,4,289,262,9,185,172,7,118,280,1
63,60,4,18,100,100,0,0,0,0,0,0,0,0,0,0,1,0
64,60,2,17,100,100,0,0,0,0,0,0,0,0,0,0,1,0
65,60,4,19,100,100,0,0,0,0,0,0,0,0,1,0,1,0
66,60,3,17,100,100,0,0,1,0,0,1,0,0,3,0,4930,23
67,60,1,18,100,100,42,42,1,65,57,3,103,93,5,40,200,0
68,60,1,19,100,100,0,0,0,0,0,0,0,0,0,0,1,0
69,60,4,18,100,100,89,80,3,89,80,4,104,95,7,80,80,0
70,60,4,17,100,100,111,99,3,120,108,5,129,117,7,101,146,0
71,60,3,18,100,100,0,0,0,0,0,1,0,0,3,0,4535,21
72,60,2,18,100,100,52,47,1,62,57,3,62,57,5,47,47,0
73,60,4,17,100,100,68,61,2,73,66,3,0,0,0,59,59,0
74,60,2,19,100,100,0,0,0,0,0,0,0,0,0,0,275,0
75,60,4,18,100,100,0,0,0,0,0,0,0,0,0,0,1,0
76,60,2,18,100,100,0,0,0,0,0,0,0,0,0,0,1,0
77,60,4,19,100,100,0,0,1,0,0,1,0,0,3,0,8244,63
78,60,2,17,100,100,0,0,1,0,0,2,0,0,1,0,3881,16
79,60,1,19,100,100,0,0,0,0,0,0,0,0,0,99,281,1
80,60,3,17,100,100,0,0,0,0,0,0,0,0,1,0,1,0
81,60,4,19,100,100,0,0,0,0,0,2,0,0,4,0,1115,4
82,60,3,18,100,100,0,0,0,0,0,0,0,0,0,33,33,0
83,60,3,17,100,100,84,74,2,108,97,8,134,119,8,77,176,0
84,60,4,17,100,100,0,0,0,0,0,0,0,0,1,0,1,0
85,60,4,19,100,100,56,50,2,69,63,3,69,63,5,46,46,0
86,60,3,18,100,100,85,78,2,89,82,8,112,105,14,73,492,1
87,60,3,18,100,100,36,32,1,41,37,2,43,39,3,32,32,0
88,60,2,18,100,100,144,130,3,198,176,15,164,148,10,132,149,0
89,60,3,18,100,100,48,44,1,55,51,2,55,51,3,44,101,0
90,60,3,17,100,100,67,62,2,67,62,6,67,62,12,59,457,1
91,60,4,17,100,100,0,0,0,0,0,0,0,0,0,88,266,0
92,60,2,17,100,100,0,0,0,0,0,2,0,0,5,0,4163,18
93,60,4,19,100,100,83,77,2,106,96,10,154,138,8,75,572,2
94,60,2,18,100,100,92,82,2,92,82,4,143,133,7,82,82,0
95,60,3,19,100,100,36,32,1,47,42,2,53,48,4,32,32,0
96,60,4,17,100,100,0,0,1,0,0,1,0,0,4,0,6083,34
97,60,3,19,100,100,0,0,0,0,0,0,0,0,1,0,6602,29
98,60,3,18,100,100,0,0,0,0,0,0,0,0,0,0,1,0
99,60,1,18,100,100,64,58,2,97,89,4,97,89,5,50,172,0
100,60,4,19,100,100,56,50,2,71,65,3,71,65,4,50,98,0
