Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,4,31,31,249.744369506836,5
RebuildWholeGraph,0,5,65,34,285.204593658447,6
RebuildWholeGraph,0,6,99,34,292.337141990662,7
RebuildWholeGraph,0,7,144,45,292.899817466736,8
RebuildWholeGraph,0,8,186,42,293.479147911072,9
RebuildWholeGraph,0,9,240,54,294.445298671722,10
RebuildWholeGraph,0,10,289,49,374.372079372406,11
RebuildWholeGraph,0,11,572,283,373.414831638336,12
RebuildWholeGraph,0,12,629,57,374.084024906158,13
RebuildWholeGraph,0,13,708,79,385.02014875412,14
RebuildWholeGraph,0,14,769,61,385.156976222992,15
RebuildWholeGraph,0,15,840,71,388.296861171722,16
RebuildWholeGraph,0,16,909,69,390.978942871094,17
RebuildWholeGraph,0,17,990,81,391.4828145504,18
RebuildWholeGraph,0,18,1062,72,406.418952703476,19
RebuildWholeGraph,0,19,1134,72,408.480445146561,20
RebuildWholeGraph,0,20,1202,68,410.647770166397,21
RebuildWholeGraph,0,21,1273,71,417.544087648392,22
RebuildWholeGraph,0,22,1356,83,461.702089548111,23
RebuildWholeGraph,0,23,1453,97,466.124811410904,24
RebuildWholeGraph,0,24,1579,126,462.955029726028,25
RebuildWholeGraph,0,25,1659,80,472.10569691658,26
RebuildWholeGraph,0,26,1766,107,479.320684671402,27
RebuildWholeGraph,0,27,1894,128,482.540910959244,28
RebuildWholeGraph,0,28,2033,139,482.758365869522,29
RebuildWholeGraph,0,29,2151,118,489.935463666916,30
RebuildWholeGraph,0,30,2233,82,502.87691617012,31
RebuildWholeGraph,0,31,2365,132,498.948609113693,32
RebuildWholeGraph,0,32,2578,213,512.271419763565,33
RebuildWholeGraph,0,33,2716,138,509.30951666832,34
RebuildWholeGraph,0,34,2845,129,546.547227621078,35
RebuildWholeGraph,0,35,2958,113,546.547228097916,36
RebuildWholeGraph,0,36,3052,94,553.104798078537,37
RebuildWholeGraph,0,37,3141,89,553.148675680161,38
RebuildWholeGraph,0,38,3227,86,553.27322936058,39
RebuildWholeGraph,0,39,3303,76,553.298269510269,40
RebuildWholeGraph,1,4,31,31,262.943461418152,5
RebuildWholeGraph,1,5,64,33,281.60999584198,6
RebuildWholeGraph,1,6,98,34,285.568419456482,7
RebuildWholeGraph,1,7,134,36,290.982218742371,8
RebuildWholeGraph,1,8,199,65,299.145907402039,9
RebuildWholeGraph,1,9,254,55,315.602065086365,10
RebuildWholeGraph,1,10,305,51,322.15756893158,11
RebuildWholeGraph,1,11,352,47,322.687738418579,12
RebuildWholeGraph,1,12,419,67,337.01696395874,13
RebuildWholeGraph,1,13,479,60,349.918241500854,14
RebuildWholeGraph,1,14,553,74,350.519121646881,15
RebuildWholeGraph,1,15,614,61,374.33943605423,16
RebuildWholeGraph,1,16,666,52,383.650049686432,17
RebuildWholeGraph,1,17,727,61,390.127285480499,18
RebuildWholeGraph,1,18,792,65,401.158787250519,19
RebuildWholeGraph,1,19,846,54,408.619728565216,20
RebuildWholeGraph,1,20,930,84,411.552597522736,21
RebuildWholeGraph,1,21,1019,89,432.980289936066,22
RebuildWholeGraph,1,22,1080,61,434.451467037201,23
RebuildWholeGraph,1,23,1158,78,436.870997905731,24
RebuildWholeGraph,1,24,1242,84,443.425202846527,25
RebuildWholeGraph,1,25,1306,64,444.463921070099,26
RebuildWholeGraph,1,26,1391,85,450.002775669098,27
RebuildWholeGraph,1,27,1462,71,450.363896846771,28
RebuildWholeGraph,1,28,1529,67,451.799917936325,29
RebuildWholeGraph,1,29,1599,70,454.737180709839,30
