Mode,SimulationRun,Iteration,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,4,39,39,192.491329193115,5
RebuildWholeGraph,0,5,81,42,194.16969871521,6
RebuildWholeGraph,0,6,120,39,260.043888092041,7
RebuildWholeGraph,0,7,165,45,283.613569259644,8
RebuildWholeGraph,0,8,212,47,292.214884757996,9
RebuildWholeGraph,0,9,263,51,301.171160697937,10
RebuildWholeGraph,0,10,339,76,305.942803382874,11
RebuildWholeGraph,0,11,418,79,310.606163978577,12
RebuildWholeGraph,0,12,480,62,311.506533622742,13
RebuildWholeGraph,0,13,547,67,326.53985786438,14
RebuildWholeGraph,0,14,632,85,328.776790618896,15
RebuildWholeGraph,0,15,707,75,337.031249046326,16
RebuildWholeGraph,0,16,903,196,338.093075752258,17
RebuildWholeGraph,0,17,1403,500,338.119640350342,18
RebuildWholeGraph,0,18,1574,171,338.527766227722,19
RebuildWholeGraph,0,19,1787,213,339.795670986176,20
RebuildWholeGraph,0,20,1860,73,353.959770679474,21
RebuildWholeGraph,0,21,2097,237,365.074263095856,22
RebuildWholeGraph,0,22,2172,75,376.372969150543,23
RebuildWholeGraph,0,23,2261,89,383.537750720978,24
RebuildWholeGraph,0,24,2364,103,391.496185779572,25
RebuildWholeGraph,0,25,2452,88,396.270322322845,26
RebuildWholeGraph,0,26,2928,476,396.14136505127,27
RebuildWholeGraph,0,27,3285,357,426.541320800781,28
RebuildWholeGraph,0,28,3543,258,428.293290615082,29
RebuildWholeGraph,0,29,3883,340,436.561850547791,30
RebuildWholeGraph,0,30,4210,327,439.870357513428,31
RebuildWholeGraph,0,31,4476,266,444.742378234863,32
RebuildWholeGraph,0,32,4958,482,456.295822620392,33
RebuildWholeGraph,0,33,5159,201,456.562454223633,34
RebuildWholeGraph,0,34,5275,116,466.460481643677,35
RebuildWholeGraph,0,35,5775,500,465.865768432617,36
RebuildWholeGraph,0,36,5890,115,476.405941009521,37
RebuildWholeGraph,0,37,6090,200,495.059267997742,38
RebuildWholeGraph,0,38,6256,166,495.469398260117,39
RebuildWholeGraph,0,39,6723,467,497.566154241562,40
RebuildWholeGraph,1,4,31,31,174.325889587402,5
RebuildWholeGraph,1,5,68,37,180.213550567627,6
RebuildWholeGraph,1,6,109,41,199.280742645264,7
RebuildWholeGraph,1,7,170,61,200.006639480591,8
RebuildWholeGraph,1,8,228,58,204.432508468628,9
RebuildWholeGraph,1,9,278,50,239.049608230591,10
RebuildWholeGraph,1,10,406,128,241.485950469971,11
