Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,38,436,436,2294,757.783961415291
RebuildWholeGraph,0,38,496,496,2275,757.783961415291
RebuildWholeGraph,0,38,414,414,2225,758.69832098484
RebuildWholeGraph,0,38,500,500,2320,757.783961415291
RebuildWholeGraph,0,38,175,175,2278,758.957185387611
RebuildWholeGraph,0,38,230,230,2275,758.042825818062
RebuildWholeGraph,0,38,330,330,2278,757.783961415291
RebuildWholeGraph,0,38,425,425,2278,757.783961415291
RebuildWholeGraph,0,38,152,152,2278,760.655274033546
RebuildWholeGraph,0,38,238,238,2278,758.69832098484
RebuildWholeGraph,0,38,200,200,2278,758.042825818062
RebuildWholeGraph,0,38,205,205,2278,761.900226593018
RebuildWholeGraph,0,38,259,259,2225,757.783961415291
RebuildWholeGraph,0,38,335,335,2327,757.783961415291
RebuildWholeGraph,0,38,238,238,2264,757.783961415291
RebuildWholeGraph,0,38,500,500,2286,757.783961415291
RebuildWholeGraph,0,38,485,485,2278,757.783961415291
RebuildWholeGraph,0,38,336,336,2294,757.783961415291
RebuildWholeGraph,0,38,187,187,2294,757.783961415291
RebuildWholeGraph,0,38,500,500,2283,757.783961415291
RebuildWholeGraph,0,38,368,368,2278,757.783961415291
RebuildWholeGraph,0,38,232,232,2267,757.783961415291
RebuildWholeGraph,0,38,332,332,2294,757.783961415291
RebuildWholeGraph,0,38,154,154,2258,757.783961415291
RebuildWholeGraph,0,38,390,390,2243,757.783961415291
RebuildWholeGraph,0,38,228,228,2270,757.783961415291
RebuildWholeGraph,0,38,386,386,2255,757.783961415291
RebuildWholeGraph,0,38,500,500,2286,757.783961415291
RebuildWholeGraph,0,38,162,162,2250,762.691263318062
RebuildWholeGraph,0,38,474,474,2310,757.783961415291
