Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,38,303,303,2544,301.18199467659
RebuildWholeGraph,0,38,500,500,2540,301.18199467659
RebuildWholeGraph,0,38,212,212,2507,301.18199467659
RebuildWholeGraph,0,38,252,252,2479,301.096216797829
RebuildWholeGraph,0,38,154,154,2539,301.263682126999
RebuildWholeGraph,0,38,500,500,2594,300.428381383419
RebuildWholeGraph,0,38,390,390,2538,301.096216797829
RebuildWholeGraph,0,38,316,316,2518,300.428381383419
RebuildWholeGraph,0,38,500,500,2507,301.18199467659
RebuildWholeGraph,0,38,180,180,2525,301.727388381958
RebuildWholeGraph,0,38,190,190,2549,301.18199467659
RebuildWholeGraph,0,38,500,500,2548,301.18199467659
RebuildWholeGraph,0,38,339,339,2526,301.18199467659
RebuildWholeGraph,0,38,223,223,2479,301.18199467659
RebuildWholeGraph,0,38,290,290,2588,301.18199467659
RebuildWholeGraph,0,38,169,169,2513,301.18199467659
RebuildWholeGraph,0,38,491,491,2574,301.18199467659
RebuildWholeGraph,0,38,121,121,2558,301.18199467659
RebuildWholeGraph,0,38,500,500,2558,301.18199467659
RebuildWholeGraph,0,38,149,149,2548,303.511417508125
RebuildWholeGraph,0,38,500,500,2558,301.18199467659
RebuildWholeGraph,0,38,429,429,2479,301.096216797829
RebuildWholeGraph,0,38,189,189,2540,302.123707175255
RebuildWholeGraph,0,38,359,359,2557,301.096216797829
RebuildWholeGraph,0,38,187,187,2483,301.18199467659
RebuildWholeGraph,0,38,236,236,2507,301.18199467659
RebuildWholeGraph,0,38,203,203,2558,301.18199467659
RebuildWholeGraph,0,38,266,266,2540,301.18199467659
RebuildWholeGraph,0,38,229,229,2544,301.18199467659
RebuildWholeGraph,0,38,369,369,2551,301.727388381958
