Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
AddNodesDynamically,0,40,146,146,1806,0
AddNodesDynamically,1,36,173,173,1688,0
AddNodesDynamically,3,39,122,122,2122,0
AddNodesDynamically,4,39,155,155,2029,0
AddNodesDynamically,5,38,130,130,2148,0
AddNodesDynamically,6,40,150,150,2282,0
AddNodesDynamically,7,40,121,121,2035,0
AddNodesDynamically,9,40,91,91,1864,0
AddNodesDynamically,10,37,305,305,1770,0
AddNodesDynamically,11,38,119,119,1857,0
AddNodesDynamically,12,40,97,97,2725,0
AddNodesDynamically,13,33,173,173,1616,0
AddNodesDynamically,14,38,116,116,1899,0
AddNodesDynamically,15,35,82,82,1843,0
AddNodesDynamically,17,40,500,500,2268,0
AddNodesDynamically,18,38,261,261,3552,0
AddNodesDynamically,19,40,294,294,2151,0
AddNodesDynamically,20,39,345,345,1830,0
AddNodesDynamically,21,36,124,124,2562,0
AddNodesDynamically,22,40,248,248,2121,0
AddNodesDynamically,23,40,309,309,3260,0
AddNodesDynamically,24,39,192,192,1967,0
AddNodesDynamically,25,38,135,135,2006,0
AddNodesDynamically,26,39,159,159,2024,0
AddNodesDynamically,27,36,90,90,1592,0
AddNodesDynamically,28,34,99,99,1364,0
AddNodesDynamically,29,36,500,500,1961,0
AddNodesDynamically,30,29,111,111,1539,0
AddNodesDynamically,31,34,500,500,2242,0
AddNodesDynamically,32,38,500,500,2179,0
AddNodesDynamically,33,39,159,159,2060,0
AddNodesDynamically,34,36,163,163,1696,0
AddNodesDynamically,36,34,106,106,1845,0
AddNodesDynamically,37,36,83,83,1594,0
AddNodesDynamically,38,33,84,84,1719,0
AddNodesDynamically,39,36,95,95,1611,0
AddNodesDynamically,40,37,153,153,2002,0
AddNodesDynamically,41,35,500,500,2027,0
AddNodesDynamically,42,38,147,147,1827,0
AddNodesDynamically,43,39,115,115,2063,0
AddNodesDynamically,44,35,471,471,1519,0
AddNodesDynamically,45,33,122,122,1503,0
AddNodesDynamically,46,40,393,393,2086,0
AddNodesDynamically,47,37,152,152,1958,0
AddNodesDynamically,48,36,84,84,1598,0
AddNodesDynamically,49,39,149,149,3136,0
AddNodesDynamically,50,38,134,134,1990,0
AddNodesDynamically,51,39,242,242,2065,0
AddNodesDynamically,52,39,99,99,2169,0
AddNodesDynamically,54,35,100,100,1851,0
AddNodesDynamically,55,39,108,108,1701,0
AddNodesDynamically,56,34,135,135,1498,0
AddNodesDynamically,57,38,154,154,2531,0
AddNodesDynamically,58,36,500,500,1928,0
AddNodesDynamically,59,27,94,94,1271,0
AddNodesDynamically,60,33,70,70,1692,0
AddNodesDynamically,61,32,87,87,1805,0
AddNodesDynamically,62,37,78,78,1981,0
AddNodesDynamically,63,36,189,189,2529,0
AddNodesDynamically,64,31,138,138,2205,0
AddNodesDynamically,65,34,94,94,1811,0
AddNodesDynamically,66,38,88,88,2014,0
AddNodesDynamically,67,38,154,154,2178,0
AddNodesDynamically,68,29,113,113,1255,0
AddNodesDynamically,69,39,294,294,1813,0
AddNodesDynamically,71,38,219,219,1881,0
AddNodesDynamically,72,37,235,235,1787,0
AddNodesDynamically,73,38,117,117,1856,0
AddNodesDynamically,74,37,84,84,1751,0
AddNodesDynamically,75,23,80,80,1303,0
AddNodesDynamically,76,39,78,78,2214,0
AddNodesDynamically,77,37,158,158,1958,0
AddNodesDynamically,78,39,500,500,2082,0
AddNodesDynamically,79,37,212,212,1811,0
AddNodesDynamically,80,40,276,276,1914,0
AddNodesDynamically,81,35,219,219,2519,0
AddNodesDynamically,82,40,123,123,2450,0
AddNodesDynamically,83,40,78,78,1846,0
AddNodesDynamically,84,39,500,500,2072,0
AddNodesDynamically,85,39,500,500,2228,0
AddNodesDynamically,86,26,166,166,947,0
AddNodesDynamically,87,33,500,500,2400,0
AddNodesDynamically,88,38,152,152,2143,0
AddNodesDynamically,89,34,134,134,1592,0
AddNodesDynamically,90,38,500,500,2527,0
AddNodesDynamically,91,29,112,112,1593,0
AddNodesDynamically,92,29,95,95,1273,0
AddNodesDynamically,93,37,500,500,1747,0
AddNodesDynamically,94,40,154,154,2005,0
AddNodesDynamically,95,38,96,96,1892,0
AddNodesDynamically,96,31,107,107,2210,0
AddNodesDynamically,99,35,302,302,1545,0
