Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
AddNodesDynamically,0,39,188,188,2036,739
AddNodesDynamically,0,39,305,305,2036,731
AddNodesDynamically,0,39,118,118,2036,739
AddNodesDynamically,0,39,382,382,2025,737
AddNodesDynamically,0,39,101,101,2012,733
AddNodesDynamically,1,27,319,319,1250,623
AddNodesDynamically,1,27,201,201,1263,623
AddNodesDynamically,1,27,102,102,1214,629
AddNodesDynamically,1,27,105,105,1288,629
AddNodesDynamically,1,27,96,96,1257,629
AddNodesDynamically,2,33,500,500,1617,655
AddNodesDynamically,2,33,500,500,1617,655
AddNodesDynamically,2,33,349,349,1616,655
AddNodesDynamically,2,33,500,500,1616,655
AddNodesDynamically,2,33,238,238,1633,655
AddNodesDynamically,3,26,96,96,1186,590
AddNodesDynamically,3,26,103,103,1194,590
AddNodesDynamically,3,26,106,106,1192,590
AddNodesDynamically,3,26,94,94,1229,590
AddNodesDynamically,3,26,92,92,1204,590
AddNodesDynamically,4,40,188,188,1965,766
AddNodesDynamically,4,40,168,168,1994,766
AddNodesDynamically,4,40,447,447,1975,766
AddNodesDynamically,4,40,256,256,2004,766
AddNodesDynamically,4,40,296,296,1999,766
AddNodesDynamically,5,38,102,102,1953,616
AddNodesDynamically,5,38,151,151,1984,622
AddNodesDynamically,5,38,500,500,1949,616
AddNodesDynamically,5,38,500,500,1979,616
AddNodesDynamically,5,38,135,135,2008,622
AddNodesDynamically,6,38,155,155,1976,746
AddNodesDynamically,6,38,423,423,1947,746
AddNodesDynamically,6,38,135,135,1915,762
AddNodesDynamically,6,38,181,181,1939,746
AddNodesDynamically,6,38,360,360,1942,746
AddNodesDynamically,7,37,69,69,1989,713
AddNodesDynamically,7,37,69,69,2025,713
AddNodesDynamically,7,37,66,66,1990,713
AddNodesDynamically,7,37,129,129,2002,713
AddNodesDynamically,7,37,62,62,2002,713
AddNodesDynamically,8,17,187,187,912,373
AddNodesDynamically,8,17,500,500,902,373
AddNodesDynamically,8,17,500,500,902,373
AddNodesDynamically,8,17,398,398,878,373
AddNodesDynamically,8,17,363,363,892,373
AddNodesDynamically,9,38,377,377,1982,768
AddNodesDynamically,9,38,227,227,1939,784
AddNodesDynamically,9,38,125,125,1945,768
AddNodesDynamically,9,38,500,500,1939,768
AddNodesDynamically,9,38,261,261,1921,768
AddNodesDynamically,10,37,500,500,2269,709
AddNodesDynamically,10,37,216,216,2241,709
AddNodesDynamically,10,37,80,80,2211,709
AddNodesDynamically,10,37,500,500,2245,709
AddNodesDynamically,10,37,84,84,2259,709
AddNodesDynamically,11,39,267,267,2036,729
AddNodesDynamically,11,39,229,229,1951,731
AddNodesDynamically,11,39,119,119,2025,737
AddNodesDynamically,11,39,98,98,2033,733
AddNodesDynamically,11,39,134,134,2049,731
AddNodesDynamically,12,32,230,230,1630,650
AddNodesDynamically,12,32,198,198,1605,646
AddNodesDynamically,12,32,234,234,1605,650
AddNodesDynamically,12,32,156,156,1605,650
AddNodesDynamically,12,32,220,220,1600,652
AddNodesDynamically,13,32,500,500,1611,670
AddNodesDynamically,13,32,500,500,1624,670
AddNodesDynamically,13,32,500,500,1603,670
AddNodesDynamically,13,32,500,500,1611,670
AddNodesDynamically,13,32,500,500,1660,670
AddNodesDynamically,14,40,295,295,2264,794
AddNodesDynamically,14,40,307,307,2252,796
AddNodesDynamically,14,40,268,268,2270,796
AddNodesDynamically,14,40,500,500,2270,794
AddNodesDynamically,14,40,139,139,2238,794
AddNodesDynamically,15,36,195,195,1988,700
AddNodesDynamically,15,36,190,190,1961,684
AddNodesDynamically,15,36,73,73,1959,694
AddNodesDynamically,15,36,345,345,1950,686
AddNodesDynamically,15,36,218,218,1949,686
AddNodesDynamically,16,36,487,487,1946,682
AddNodesDynamically,16,36,112,112,1941,684
AddNodesDynamically,16,36,500,500,1961,684
AddNodesDynamically,16,36,99,99,1961,692
AddNodesDynamically,16,36,239,239,1946,684
AddNodesDynamically,17,38,500,500,2129,902
AddNodesDynamically,17,38,114,114,2150,906
AddNodesDynamically,17,38,275,275,2156,914
AddNodesDynamically,17,38,500,500,2082,914
AddNodesDynamically,17,38,398,398,2150,906
AddNodesDynamically,18,39,133,133,2149,815
AddNodesDynamically,18,39,125,125,2138,833
AddNodesDynamically,18,39,242,242,2160,823
AddNodesDynamically,18,39,121,121,2160,825
AddNodesDynamically,18,39,143,143,2120,821
AddNodesDynamically,19,39,121,121,1956,689
AddNodesDynamically,19,39,77,77,1962,689
AddNodesDynamically,19,39,84,84,1954,689
AddNodesDynamically,19,39,83,83,1967,689
AddNodesDynamically,19,39,75,75,1954,689
AddNodesDynamically,20,36,113,113,1634,604
AddNodesDynamically,20,36,89,89,1583,604
AddNodesDynamically,20,36,84,84,1595,604
AddNodesDynamically,20,36,105,105,1628,604
AddNodesDynamically,20,36,107,107,1618,604
AddNodesDynamically,21,36,94,94,1618,600
AddNodesDynamically,21,36,82,82,1618,600
AddNodesDynamically,21,36,79,79,1628,600
AddNodesDynamically,21,36,101,101,1628,600
AddNodesDynamically,21,36,92,92,1577,600
AddNodesDynamically,22,23,111,111,1397,575
AddNodesDynamically,22,23,287,287,1341,575
AddNodesDynamically,22,23,500,500,1356,575
AddNodesDynamically,22,23,500,500,1341,575
AddNodesDynamically,22,23,439,439,1365,575
AddNodesDynamically,23,40,160,160,1851,766
AddNodesDynamically,23,40,117,117,1885,768
AddNodesDynamically,23,40,253,253,1851,760
AddNodesDynamically,23,40,90,90,1862,762
AddNodesDynamically,23,40,107,107,1851,760
AddNodesDynamically,24,38,139,139,1820,828
AddNodesDynamically,24,38,193,193,1823,828
AddNodesDynamically,24,38,138,138,1867,838
AddNodesDynamically,24,38,116,116,1856,828
AddNodesDynamically,24,38,190,190,1901,828
AddNodesDynamically,25,37,500,500,2494,755
AddNodesDynamically,25,37,500,500,2494,755
AddNodesDynamically,25,37,500,500,2494,755
AddNodesDynamically,25,37,452,452,2494,755
AddNodesDynamically,25,37,270,270,2469,755
AddNodesDynamically,26,38,201,201,2026,734
AddNodesDynamically,26,38,500,500,2007,734
AddNodesDynamically,26,38,98,98,2020,740
AddNodesDynamically,26,38,500,500,2001,734
AddNodesDynamically,26,38,156,156,1991,734
AddNodesDynamically,27,39,124,124,3114,819
AddNodesDynamically,27,39,119,119,3135,819
AddNodesDynamically,27,39,109,109,3109,819
AddNodesDynamically,27,39,175,175,3096,819
AddNodesDynamically,27,39,150,150,3189,823
AddNodesDynamically,28,40,97,97,1903,688
AddNodesDynamically,28,40,99,99,1903,688
AddNodesDynamically,28,40,92,92,1924,688
AddNodesDynamically,28,40,85,85,1906,688
AddNodesDynamically,28,40,95,95,1918,688
AddNodesDynamically,29,38,500,500,2007,734
AddNodesDynamically,29,38,276,276,2007,740
AddNodesDynamically,29,38,186,186,1993,734
AddNodesDynamically,29,38,87,87,2007,740
AddNodesDynamically,29,38,97,97,1974,734
