Mode,SimulationRun,Checkpoints,MMASIterations,LocalIterations,BestTourLength,BestTourNodes
RebuildWholeGraph,0,38,108,108,2269,461.86135661602
RebuildWholeGraph,0,38,87,87,2314,461.86135661602
RebuildWholeGraph,0,38,88,88,2311,458.663277506828
RebuildWholeGraph,0,38,97,97,2286,461.86135661602
RebuildWholeGraph,0,38,500,500,2286,458.663277506828
RebuildWholeGraph,0,38,106,106,2268,461.86135661602
RebuildWholeGraph,0,38,89,89,2239,461.86135661602
RebuildWholeGraph,0,38,355,355,2271,458.663277506828
RebuildWholeGraph,0,38,422,422,2310,458.663277506828
RebuildWholeGraph,0,38,221,221,2283,461.86135661602
RebuildWholeGraph,0,38,110,110,2320,461.86135661602
RebuildWholeGraph,0,38,389,389,2285,458.663277506828
RebuildWholeGraph,0,38,90,90,2244,463.388363242149
RebuildWholeGraph,0,38,109,109,2278,461.86135661602
RebuildWholeGraph,0,38,94,94,2250,458.663277506828
RebuildWholeGraph,0,38,247,247,2320,461.86135661602
RebuildWholeGraph,0,38,79,79,2270,458.663277506828
RebuildWholeGraph,0,38,300,300,2243,458.663277506828
RebuildWholeGraph,0,38,107,107,2278,458.663277506828
RebuildWholeGraph,0,38,87,87,2255,458.663277506828
RebuildWholeGraph,0,38,99,99,2286,461.86135661602
RebuildWholeGraph,0,38,96,96,2250,461.86135661602
RebuildWholeGraph,0,38,100,100,2278,461.86135661602
RebuildWholeGraph,0,38,84,84,2294,458.663277506828
RebuildWholeGraph,0,38,102,102,2265,461.86135661602
RebuildWholeGraph,0,38,107,107,2270,461.86135661602
RebuildWholeGraph,0,38,103,103,2293,461.86135661602
RebuildWholeGraph,0,38,112,112,2306,461.86135661602
RebuildWholeGraph,0,38,82,82,2244,462.619932055473
RebuildWholeGraph,0,38,84,84,2249,458.663277506828
